shuffle,test_unit,model_idx,model_unit,mouse,date,step,labels_this_video,total_labels,median_frame_rmse_px,p90_frame_rmse_px,frac_frames_rmse_gt_50px,frac_points_conf_ge_0.6,median_pupil_top_px,median_pupil_bottom_px,median_pupil_left_px,median_pupil_right_px,median_eyelid_top_px,median_eyelid_bottom_px,median_eye_nasal_corner_px,median_eye_temporal_corner_px
214,4_20251030_Pluto_spont_1,8.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,4.0,80.0,180.0,72.82,208.44,0.56,0.516,50.23,28.99,81.73,23.44,5.46,2.14,8.46,9.17
225,4_20251030_Pluto_spont_1,9.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,5.0,100.0,200.0,38.02,163.85,0.22,0.562,35.77,27.61,93.2,22.4,3.57,2.31,4.72,6.37
216,4_20251030_Pluto_spont_1,10.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,6.0,120.0,220.0,23.78,47.37,0.1,0.711,27.34,29.18,48.93,17.37,2.58,1.85,4.04,6.31
217,4_20251030_Pluto_spont_1,11.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,7.0,140.0,240.0,25.58,170.53,0.18,0.753,31.08,26.95,44.57,17.33,3.4,1.96,4.01,3.65
321,4_20251030_Pluto_spont_1,12.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,1.0,20.0,220.0,35.89,60.83,0.14,0.734,25.74,30.54,92.06,22.57,2.65,2.31,6.08,6.35
322,4_20251030_Pluto_spont_1,13.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,2.0,40.0,240.0,24.85,44.9,0.04,0.799,21.49,27.54,43.36,18.12,2.34,2.64,7.33,5.25
323,4_20251030_Pluto_spont_1,14.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,3.0,60.0,260.0,21.86,41.27,0.04,0.805,19.0,28.07,33.0,22.63,2.92,1.9,3.19,3.11
324,4_20251030_Pluto_spont_1,15.0,2_20251031_pluton2,mouse B (Pluto),2025-10-31,4.0,80.0,280.0,27.51,46.31,0.06,0.844,22.58,28.27,70.33,21.32,2.73,2.02,3.76,3.93
411,4_20251030_Pluto_spont_1,16.0,3_20251031_pluto3,mouse B (Pluto),2025-10-31,1.0,20.0,280.0,23.46,41.84,0.04,0.747,21.55,28.92,31.74,22.48,3.36,1.75,3.52,3.4
422,4_20251030_Pluto_spont_1,17.0,3_20251031_pluto3,mouse B (Pluto),2025-10-31,2.0,40.0,300.0,22.47,41.9,0.04,0.828,20.73,27.67,30.3,24.64,2.55,2.06,4.05,3.86
423,4_20251030_Pluto_spont_1,18.0,3_20251031_pluto3,mouse B (Pluto),2025-10-31,3.0,60.0,320.0,22.8,44.45,0.04,0.896,22.53,29.32,32.65,22.63,0.0,0.0,0.0,0.0
